Time_since_start   Raw_Temperature   Temperature   Temperature_2   Raw_Applied_Field   Applied_Field   Field_Angle   Raw_Applied_Field_For_Plot_   Applied_Field_For_Plot_   Raw_Signal_Mx   Raw_Signal_My   Signal_X_direction   Signal_Y_direction      
1.201700E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.881340E-3   1.881340E-3   -6.146063E-2   -1.126780E-1   -6.146063E-5   -1.520449E-4   
2.143800E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000336E+1   1.000336E+1   1.825385E+0   -2.151125E-1   1.825385E-3   -2.902674E-4   
3.085800E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000318E+1   2.000318E+1   6.748388E+0   1.638952E-1   6.748388E-3   2.211562E-4   
4.027800E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.000293E+1   3.000293E+1   1.226963E+1   7.785024E-1   1.226963E-2   1.050492E-3   
4.969800E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.000339E+1   4.000339E+1   1.780312E+1   1.372628E+0   1.780312E-2   1.852190E-3   
5.911800E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   5.000323E+1   5.000323E+1   2.363169E+1   1.987226E+0   2.363169E-2   2.681514E-3   
6.854000E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   6.000349E+1   6.000349E+1   2.934950E+1   2.550612E+0   2.934950E-2   3.441732E-3   
7.796100E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   7.000360E+1   7.000360E+1   3.495471E+1   2.939874E+0   3.495471E-2   3.966992E-3   
8.743000E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   8.000400E+1   8.000400E+1   4.095737E+1   3.796223E+0   4.095737E-2   5.122529E-3   
9.690000E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   9.000341E+1   9.000341E+1   4.611812E+1   4.066645E+0   4.611812E-2   5.487429E-3   
1.063210E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000030E+2   1.000030E+2   5.085264E+1   4.404676E+0   5.085264E-2   5.943560E-3   
1.170560E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.500488E+2   1.500488E+2   7.052607E+1   7.365035E+0   7.052607E-2   9.938194E-3   
1.250710E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000448E+2   2.000448E+2   7.732564E+1   7.621126E+0   7.732564E-2   1.028376E-2   
1.330930E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.500483E+2   2.500483E+2   8.000528E+1   6.555810E+0   8.000528E-2   8.846246E-3   
