Time_since_start   Raw_Temperature   Temperature   Temperature_2   Raw_Applied_Field   Applied_Field   Field_Angle   Raw_Applied_Field_For_Plot_   Applied_Field_For_Plot_   Raw_Signal_Mx   Raw_Signal_My   Signal_X_direction   Signal_Y_direction      
1.172300E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.506800E-4   4.506800E-4   8.276710E-1   1.229214E-1   8.276710E-4   1.658671E-4   
2.109400E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000257E+1   1.000257E+1   -1.004883E+1   -1.382870E+0   -1.004883E-2   -1.866011E-3   
3.051400E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000257E+1   2.000257E+1   -2.878409E+1   -4.046160E+0   -2.878409E-2   -5.459787E-3   
3.993300E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.000298E+1   3.000298E+1   -4.802749E+1   -6.811892E+0   -4.802749E-2   -9.191797E-3   
4.935200E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.000162E+1   4.000162E+1   -6.621364E+1   -9.423960E+0   -6.621364E-2   -1.271646E-2   
5.882300E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   5.000257E+1   5.000257E+1   -8.572759E+1   -1.222048E+1   -8.572759E-2   -1.649001E-2   
6.824200E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   6.000266E+1   6.000266E+1   -9.424991E+1   -1.337793E+1   -9.424991E-2   -1.805184E-2   
7.766300E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   7.000115E+1   7.000115E+1   -9.829006E+1   -1.386961E+1   -9.829006E-2   -1.871530E-2   
8.708400E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   8.000396E+1   8.000396E+1   -1.013587E+2   -1.422612E+1   -1.013587E-1   -1.919637E-2   
9.650500E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   9.000302E+1   9.000302E+1   -1.037870E+2   -1.448425E+1   -1.037870E-1   -1.954468E-2   
1.059760E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000025E+2   1.000025E+2   -1.058356E+2   -1.469933E+1   -1.058356E-1   -1.983490E-2   
1.166620E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.500458E+2   1.500458E+2   -1.125035E+2   -1.531397E+1   -1.125035E-1   -2.066428E-2   
1.246750E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000382E+2   2.000382E+2   -1.161957E+2   -1.558435E+1   -1.161957E-1   -2.102913E-2   
1.326900E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.500392E+2   2.500392E+2   -1.186397E+2   -1.570322E+1   -1.186397E-1   -2.118953E-2   
1.407030E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.000509E+2   3.000509E+2   -1.203793E+2   -1.574625E+1   -1.203793E-1   -2.124760E-2   
1.487180E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.500516E+2   3.500516E+2   -1.216796E+2   -1.574421E+1   -1.216796E-1   -2.124484E-2   
1.567320E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.000511E+2   4.000511E+2   -1.226963E+2   -1.571344E+1   -1.226963E-1   -2.120333E-2   
1.644960E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.500586E+2   4.500586E+2   -1.235049E+2   -1.566223E+1   -1.235049E-1   -2.113422E-2   
1.718590E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   5.000646E+2   5.000646E+2   -1.241811E+2   -1.560079E+1   -1.241811E-1   -2.105132E-2   
1.798740E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   5.500570E+2   5.500570E+2   -1.247448E+2   -1.552904E+1   -1.247448E-1   -2.095450E-2   
1.878890E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   6.000498E+2   6.000498E+2   -1.252157E+2   -1.544715E+1   -1.252157E-1   -2.084400E-2   
1.956530E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   6.500593E+2   6.500593E+2   -1.256256E+2   -1.536518E+1   -1.256256E-1   -2.073339E-2   
2.030160E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   7.000700E+2   7.000700E+2   -1.259839E+2   -1.527298E+1   -1.259839E-1   -2.060898E-2   
2.110300E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   7.500513E+2   7.500513E+2   -1.262915E+2   -1.518078E+1   -1.262915E-1   -2.048456E-2   
2.187940E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   8.000605E+2   8.000605E+2   -1.265682E+2   -1.508858E+1   -1.265682E-1   -2.036015E-2   
2.262550E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   8.500683E+2   8.500683E+2   -1.268037E+2   -1.499229E+1   -1.268037E-1   -2.023022E-2   
2.336670E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   9.000718E+2   9.000718E+2   -1.270143E+2   -1.489395E+1   -1.270143E-1   -2.009753E-2   
2.410310E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   9.500703E+2   9.500703E+2   -1.272032E+2   -1.480175E+1   -1.272032E-1   -1.997311E-2   
2.487980E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000062E+3   1.000062E+3   -1.273673E+2   -1.469933E+1   -1.273673E-1   -1.983490E-2   
2.594380E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.200055E+3   1.200055E+3   -1.278877E+2   -1.431420E+1   -1.278877E-1   -1.931522E-2   
2.669000E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.400121E+3   1.400121E+3   -1.282172E+2   -1.393113E+1   -1.282172E-1   -1.879832E-2   
2.743610E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.600072E+3   1.600072E+3   -1.284485E+2   -1.356233E+1   -1.284485E-1   -1.830067E-2   
2.818220E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.800051E+3   1.800051E+3   -1.286167E+2   -1.319559E+1   -1.286167E-1   -1.780580E-2   
2.893030E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000074E+3   2.000074E+3   -1.287499E+2   -1.285557E+1   -1.287499E-1   -1.734699E-2   
2.967650E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.200061E+3   2.200061E+3   -1.288563E+2   -1.251753E+1   -1.288563E-1   -1.689085E-2   
3.042280E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.400119E+3   2.400119E+3   -1.289462E+2   -1.221017E+1   -1.289462E-1   -1.647610E-2   
3.116900E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.600063E+3   2.600063E+3   -1.290307E+2   -1.190494E+1   -1.290307E-1   -1.606422E-2   
3.191500E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.800107E+3   2.800107E+3   -1.291082E+2   -1.162629E+1   -1.291082E-1   -1.568822E-2   
3.266120E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.000137E+3   3.000137E+3   -1.291619E+2   -1.134159E+1   -1.291619E-1   -1.530406E-2   
