Time_since_start   Raw_Temperature   Temperature   Temperature_2   Raw_Applied_Field   Applied_Field   Field_Angle   Raw_Applied_Field_For_Plot_   Applied_Field_For_Plot_   Raw_Signal_Mx   Raw_Signal_My   Signal_X_direction   Signal_Y_direction      
1.033900E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.147500E-3   3.147500E-3   -9.921549E-1   0.000000E+0   -9.975152E-4   2.109508E-6   
1.890600E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.001459E+1   1.001459E+1   1.438617E+1   0.000000E+0   1.453061E-2   2.106892E-6   
2.722100E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.001763E+1   2.001763E+1   2.989682E+1   -1.653586E-1   3.019236E-2   -2.214915E-4   
3.549700E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.001558E+1   3.001558E+1   4.547369E+1   -1.653586E-1   4.592096E-2   -2.214941E-4   
4.406300E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.001272E+1   4.001272E+1   6.101724E+1   -3.307180E-1   6.161591E-2   -4.450936E-4   
5.237900E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   5.001334E+1   5.001334E+1   7.656087E+1   -3.307180E-1   7.731095E-2   -4.450962E-4   
6.069600E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   6.001549E+1   6.001549E+1   9.243594E+1   -4.960757E-1   9.334065E-2   -6.686934E-4   
6.901400E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   7.001916E+1   7.001916E+1   1.079795E+2   -4.960757E-1   1.090356E-1   -6.686960E-4   
7.759100E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   8.001594E+1   8.001594E+1   1.236878E+2   -6.614352E-1   1.248969E-1   -8.922955E-4   
8.615900E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   9.001701E+1   9.001701E+1   1.393969E+2   -6.614352E-1   1.407590E-1   -8.922981E-4   
9.472700E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000170E+2   1.000170E+2   1.551060E+2   -8.267929E-1   1.566212E-1   -1.115895E-3   
1.054620E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.500711E+2   1.500711E+2   2.338173E+2   -1.157508E+0   2.360991E-1   -1.563097E-3   
1.129270E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000197E+2   2.000197E+2   3.121965E+2   -1.488232E+0   3.152418E-1   -2.010311E-3   
1.203910E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.499504E+2   2.499504E+2   3.904119E+2   -1.818948E+0   3.942190E-1   -2.457514E-3   
