Time_since_start   Raw_Temperature   Temperature   Temperature_2   Raw_Applied_Field   Applied_Field   Field_Angle   Raw_Applied_Field_For_Plot_   Applied_Field_For_Plot_   Raw_Signal_Mx   Raw_Signal_My   Signal_X_direction   Signal_Y_direction      
1.059100E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.148950E-3   4.148950E-3   0.000000E+0   0.000000E+0   4.264649E-6   2.109508E-6   
1.890800E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000817E+1   1.000817E+1   1.240189E+0   -8.267946E-2   1.245138E-3   -1.144290E-4   
2.722300E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.000637E+1   2.000637E+1   2.521715E+0   -1.240189E-1   2.527350E-3   -1.726991E-4   
3.553900E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.001352E+1   3.001352E+1   3.803249E+0   -2.066982E-1   3.809571E-3   -2.892373E-4   
4.386100E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.001780E+1   4.001780E+1   5.076499E+0   -2.480379E-1   5.083506E-3   -3.475077E-4   
5.217600E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   5.001278E+1   5.001278E+1   6.324972E+0   -2.893766E-1   6.332664E-3   -4.057769E-4   
6.049200E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   6.001439E+1   6.001439E+1   7.606489E+0   -4.133964E-1   7.614867E-3   -5.805842E-4   
6.880700E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   7.002055E+1   7.002055E+1   8.887971E+0   -4.547361E-1   8.897036E-3   -6.388546E-4   
7.712500E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   8.001518E+1   8.001518E+1   1.021085E+1   -5.374145E-1   1.022060E-2   -7.553916E-4   
8.544000E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   9.001159E+1   9.001159E+1   1.153373E+1   -6.200938E-1   1.154417E-2   -8.719298E-4   
9.375700E+1   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.000181E+2   1.000181E+2   1.285661E+1   -7.606500E-1   1.286774E-2   -1.070045E-3   
1.044920E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   1.499565E+2   1.499565E+2   1.980166E+1   -2.025637E+0   1.981624E-2   -2.853045E-3   
1.119540E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.001018E+2   2.001018E+2   2.724286E+1   -3.968602E+0   2.726094E-2   -5.591647E-3   
1.194160E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   2.498894E+2   2.498894E+2   3.509734E+1   -5.787559E+0   3.511892E-2   -8.155460E-3   
1.268870E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.001062E+2   3.001062E+2   4.394413E+1   -7.317110E+0   4.396928E-2   -1.031136E-2   
1.343490E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   3.500726E+2   3.500726E+2   5.254272E+1   -8.143903E+0   5.257140E-2   -1.147673E-2   
1.418100E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.002000E+2   4.002000E+2   6.093462E+1   -8.887971E+0   6.096685E-2   -1.252550E-2   
1.492720E+2   -2.731500E+2   -2.731500E+2   -2.731500E+2   0.000000E+0   0.000000E+0   0.000000E+0   4.499518E+2   4.499518E+2   6.887172E+1   -9.384127E+0   6.890744E-2   -1.322484E-2   
